cities
warszawa
krakow
lodz
wroclaw
poznan
gdansk
szczecin
bydgoszcz
lublin
bialystok
katowice
gdynia
czestochowa
radom
sosnowiec
torun
kielce
rzeszow
gliwice
zabrze
olsztyn
bielsko-biala
bytom
zielona-gora
rybnik
ruda-slaska
tychy
opole
gorzow-wielkopolski
dabrowa-gornicza
elblag
plock
walbrzych
wloclawek
tarnow
chorzow
koszalin
kalisz
legnica
grudziadz
jaworzno
slupsk
jastrzebie-zdroj
nowy-sacz
jelenia-gora
siedlce
konin
myslowice
piotrkow-trybunalsk
pila
