,Risk,group
0,3.2392555158083343,1.0
1,5.189502624572569,2.0
2,3.3450430514208653,1.0
3,1.6975326913921052,1.0
4,4.191004420832193,2.0
5,2.706401397382232,1.0
6,3.7809455518979007,2.0
7,3.107947954864633,1.0
8,3.083590328102665,1.0
9,3.77329145104357,2.0
10,4.953440322879378,2.0
11,4.645685307738922,2.0
12,2.3379384110071406,1.0
13,3.605592105815441,2.0
14,2.5460713981794028,1.0
15,5.058670965098683,2.0
16,4.89004623033044,2.0
17,3.17453208097212,1.0
18,3.7446816993016467,2.0
19,3.8143884094941245,2.0
20,2.3395561912603404,1.0
21,4.92743134526175,2.0
22,4.647019149958261,2.0
23,3.1367274378804932,1.0
24,3.4918923651489138,1.0
25,1.8174110051568646,1.0
26,3.155908386622887,1.0
27,3.943332888564884,2.0
28,3.9917350728949685,2.0
29,2.4182947198084563,1.0
30,3.127520017178489,1.0
31,4.1724453803968675,2.0
32,4.683691611883645,2.0
33,3.8280111850367096,2.0
34,5.162001833149313,2.0
35,4.491996102285693,2.0
36,3.1810133268708043,1.0
37,2.4728472681794886,1.0
38,2.2884357664762414,1.0
39,4.149828396193159,2.0
40,5.5541616848511515,3.0
41,3.698020961091931,2.0
42,5.084042111022367,2.0
43,3.252479070383667,1.0
44,3.1779690090643267,1.0
45,3.3548526589408794,1.0
46,3.536853483671678,2.0
47,3.558039456160207,2.0
48,1.7363077045334052,1.0
49,3.145567137181672,1.0
50,3.235861724860959,1.0
51,4.278808045726067,2.0
52,5.593180969119996,3.0
53,4.391826200879318,2.0
54,2.455476453722512,1.0
55,2.584262392931751,1.0
56,5.8449283711361355,3.0
57,3.884256082319495,2.0
58,4.747163288951463,2.0
59,2.728753608457157,1.0
60,4.967449032610232,2.0
61,5.1473969570965155,2.0
62,1.9875010420747263,1.0
63,2.891382682597538,1.0
64,5.254016037851867,3.0
65,4.823356670580311,2.0
66,2.4725147822312517,1.0
67,4.945829333514703,2.0
68,5.118741337130785,2.0
69,2.328404905713203,1.0
70,3.9620738834469384,2.0
71,3.7274486143262475,2.0
72,2.657956857926101,1.0
73,4.770545576211525,2.0
74,2.7566848827964763,1.0
75,4.912760974473731,2.0
76,4.786591872263839,2.0
77,4.0379499030348835,2.0
78,3.4678866834276936,1.0
79,3.442352608725355,1.0
80,3.9438321691045903,2.0
81,2.6118916440347695,1.0
82,2.181342822390242,1.0
83,3.772012502872862,2.0
84,3.670087702962666,2.0
85,2.708030217738314,1.0
86,4.491558827661035,2.0
87,2.8750806625444274,1.0
88,4.694374939751493,2.0
89,1.8907464049724083,1.0
90,4.586238377305817,2.0
91,5.865307805685037,3.0
92,3.491772956275504,1.0
93,3.559742655342988,2.0
94,4.52244367466998,2.0
95,3.096379146116943,1.0
96,2.180095453552707,1.0
97,3.4827782963651166,1.0
98,3.088565483949777,1.0
99,4.167985712807577,2.0
100,2.8533496157662954,1.0
101,3.8470113555686902,2.0
102,4.757153051897932,2.0
103,3.0914862065921844,1.0
104,5.227628128114815,3.0
105,5.0583184211591234,2.0
106,4.465972747254441,2.0
107,2.7257297064191817,1.0
108,3.0031023674318487,1.0
109,5.1843454871944346,2.0
110,4.925464612073472,2.0
111,3.0164366126184703,1.0
112,4.101174211376707,2.0
113,2.46821343080701,1.0
114,2.8545937384814586,1.0
115,2.7015696261307083,1.0
116,3.4512350047241633,1.0
117,4.987607095810872,2.0
118,4.743569704389565,2.0
119,4.027032906832668,2.0
120,3.867621541377715,2.0
121,2.248010173050519,1.0
122,4.050399557762375,2.0
123,3.283034925349008,1.0
124,2.132021349593901,1.0
125,5.295386816727243,3.0
126,3.141096209486206,1.0
127,4.0834576753480505,2.0
128,3.1616448953333043,1.0
129,3.3341132319679097,1.0
130,1.8576254611341412,1.0
131,3.226990527075242,1.0
132,2.339127144531923,1.0
133,3.5284868255062656,2.0
134,3.482862552388396,1.0
135,4.964565780932757,2.0
136,4.911623849740344,2.0
137,2.856206047695909,1.0
138,3.454394323113118,1.0
139,3.064275076003266,1.0
140,3.656863960110684,2.0
141,3.4253490394183053,1.0
142,3.1609151631529415,1.0
143,4.083302307090758,2.0
144,2.5804977453499927,1.0
145,2.5096461722537393,1.0
146,2.0315751979200223,1.0
147,2.918076461579852,1.0
148,3.480969986850587,1.0
149,3.1781219238585194,1.0
150,2.610088573841975,1.0
151,2.5882117460012264,1.0
152,2.4841552770042017,1.0
153,5.476778878644456,3.0
154,4.14671797457873,2.0
155,4.34259970367327,2.0
156,3.8892638564402033,2.0
157,5.473860526275363,3.0
158,4.0785673832848115,2.0
159,4.2560455457222774,2.0
160,2.960842274085665,1.0
161,2.0804202404593215,1.0
162,4.781879577965363,2.0
163,4.365801308944581,2.0
164,4.616518243625095,2.0
165,2.2481568315080915,1.0
166,4.639527881314383,2.0
167,5.648532468935126,3.0
168,2.671069678442813,1.0
169,3.2479438987964975,1.0
170,1.7284240124813666,1.0
171,3.515722025320571,2.0
172,3.148942757276149,1.0
173,4.239381162148117,2.0
174,4.30880971454622,2.0
175,2.4475435144597526,1.0
176,3.3857405397679163,1.0
177,4.941829014900687,2.0
178,3.614379747404964,2.0
179,3.459700787961974,1.0
180,4.601687348118655,2.0
181,5.008483698437899,2.0
182,5.348693044224369,3.0
183,2.669832861381143,1.0
184,2.0972394399991683,1.0
185,3.180193798157784,1.0
186,3.930697441661339,2.0
187,4.9597100881691984,2.0
188,3.3171111465433767,1.0
189,5.1446507169163045,2.0
190,3.894894299727572,2.0
191,4.997813203188635,2.0
192,2.9148289696282244,1.0
193,2.740986028803035,1.0
194,5.463343335914471,3.0
195,5.4235521178043244,3.0
196,4.1462821865169115,2.0
197,2.7497570447993605,1.0
198,3.7370445793746074,2.0
199,4.755942197711528,2.0
200,5.291023108611338,3.0
201,4.352376598066464,2.0
202,4.888380939664436,2.0
203,2.4801864044567683,1.0
204,1.8055653264329545,1.0
205,4.096064397494665,2.0
206,3.643623842444986,2.0
207,3.313304090055238,1.0
208,3.8619629233592048,2.0
209,4.054482184665719,2.0
210,3.423611962422517,1.0
211,3.6197660814247303,2.0
212,3.433070550358184,1.0
213,4.237152533042048,2.0
214,4.667454445862391,2.0
215,3.4234749764641723,1.0
216,2.4414158446186938,1.0
217,4.017355379076855,2.0
218,3.495885826287811,1.0
219,2.602882488306275,1.0
220,3.559478587087055,2.0
221,3.6525616476164364,2.0
222,4.277969375168281,2.0
223,4.439556406887574,2.0
224,3.3061919406395663,1.0
225,3.780548867153742,2.0
226,4.785187740230917,2.0
227,2.967387149133921,1.0
228,3.241740219250187,1.0
229,3.5956865791032544,2.0
230,5.252046085408313,3.0
231,5.485526798520881,3.0
232,3.9131690717355054,2.0
233,3.3337825673613373,1.0
234,2.561274340042557,1.0
235,2.7334047412202613,1.0
236,2.5499241446160408,1.0
237,4.0243301359737575,2.0
238,3.080901298643732,1.0
239,4.48760916558848,2.0
240,4.82384829435008,2.0
241,4.215237677508309,2.0
242,3.252809052739449,1.0
243,2.387169813062946,1.0
244,1.9162879502885632,1.0
245,4.20369281166192,2.0
246,3.1615505274157836,1.0
247,3.7883630205827155,2.0
248,4.019013034128442,2.0
249,2.3229117943361066,1.0
250,3.298751700367692,1.0
251,4.024166536508824,2.0
252,4.542897780514476,2.0
253,2.2494395867759436,1.0
254,3.0724102187887943,1.0
255,5.4042215469056085,3.0
256,4.150578110685434,2.0
257,3.0536126047112093,1.0
258,3.30849813750096,1.0
259,3.7862616935892284,2.0
260,2.816856929202814,1.0
261,5.374357968962899,3.0
262,2.677918228066415,1.0
263,3.319308091645607,1.0
264,3.276116888827736,1.0
265,3.3451592706162545,1.0
266,4.848195944516178,2.0
267,5.136520723757785,2.0
268,2.081922139094233,1.0
269,5.127326989961507,2.0
270,4.857072056429735,2.0
271,3.437541266018104,1.0
272,4.45737225035213,2.0
273,3.4508247759364923,1.0
274,4.760534134605397,2.0
275,3.035502554049136,1.0
276,4.363460417055716,2.0
277,4.048535669371733,2.0
278,1.6323432709878634,1.0
279,2.308593957917756,1.0
280,1.536082098330362,1.0
281,2.8351191132179085,1.0
282,3.625230791175487,2.0
283,4.314545009767331,2.0
284,3.199560345726899,1.0
285,2.624819445719167,1.0
286,3.8305335000261116,2.0
287,5.0093709191638665,2.0
288,2.5515464577140263,1.0
289,4.971461352128598,2.0
290,5.254233457505714,3.0
291,3.8814004930194814,2.0
292,4.653255237305585,2.0
293,4.3970416706394655,2.0
294,3.2651493989346614,1.0
295,3.6126483528235673,2.0
296,3.3391484842970685,1.0
297,3.76726780648872,2.0
298,3.163515901402665,1.0
299,2.9406580860178146,1.0
300,2.560930026706653,1.0
301,3.0986522179885205,1.0
302,2.5579236545151867,1.0
303,4.959523239041404,2.0
304,3.2021055240757654,1.0
305,4.771121358810909,2.0
306,2.5346831184290997,1.0
307,4.13905090013113,2.0
308,4.169285922691733,2.0
309,2.230890641079786,1.0
310,4.047538659362552,2.0
311,4.948447273654348,2.0
312,3.7776317269006876,2.0
313,5.321111572867333,3.0
314,4.8550617466205495,2.0
