group,Mitjana de age,Mitjana de Risk,Mitjana de months_survival,Mitjana de limfocits_per_monocits,Mitjana de neutrofils_per_limfocits,Mitjana de specific_death,Recompte de ID
1,51.28849521199289,5.502828113627383,"108,32",6.409618761338375,2.300291709721032,"0,08",1486
2,60.268718223285305,5.641358322838404,"83,45",5.674767752974427,2.6105541619898025,"0,23",341
3,60.79398592289283,5.778769812946983,"53,90",5.49257534886788,2.8693640516059458,"0,56",321
